%       t              x              y          Lift_wing      Lift_stab        alpha
%     (sec)           (m)            (m)            (N)            (N)         (degrees)

  0.000000E+000  0.000000E+000  1.000000E+003  1.280474E+004  6.402368E+003  3.000000E+000
  2.000000E-002  1.999325E+000  1.000000E+003  1.308685E+004  6.543424E+003  3.070565E+000
  4.000000E-002  3.997178E+000  1.000002E+003  1.397608E+004  6.988041E+003  3.285430E+000
  6.000000E-002  5.993179E+000  1.000005E+003  1.550440E+004  7.752201E+003  3.654391E+000
  8.000000E-002  7.986669E+000  1.000010E+003  1.772739E+004  8.863694E+003  4.194285E+000
  1.000000E-001  9.976678E+000  1.000017E+003  2.072187E+004  1.036093E+004  4.929601E+000
  1.200000E-001  1.196187E+001  1.000028E+003  2.458149E+004  1.229075E+004  5.893315E+000
  1.400000E-001  1.394050E+001  1.000044E+003  2.940814E+004  1.470407E+004  7.127917E+000
  1.600000E-001  1.591029E+001  1.000066E+003  3.529586E+004  1.764793E+004  8.686510E+000
  1.800000E-001  1.786839E+001  1.000097E+003  4.230280E+004  2.115140E+004  1.063382E+001
  2.000000E-001  1.981126E+001  1.000137E+003  5.040515E+004  2.520258E+004  1.304679E+001
  2.200000E-001  2.173462E+001  1.000188E+003  5.942794E+004  2.971397E+004  1.601426E+001
  2.400000E-001  2.363342E+001  1.000252E+003  6.895240E+004  3.447620E+004  1.963497E+001
  2.600000E-001  2.550203E+001  1.000330E+003  7.821409E+004  3.910704E+004  2.401282E+001
  2.800000E-001  2.733458E+001  1.000420E+003  8.603289E+004  4.301644E+004  2.924847E+001
  3.000000E-001  2.912570E+001  1.000521E+003  9.084675E+004  4.542337E+004  3.542637E+001
  3.200000E-001  3.087162E+001  1.000627E+003  9.092570E+004  4.546285E+004  4.259777E+001
  3.400000E-001  3.257145E+001  1.000735E+003  8.477407E+004  4.238703E+004  5.076216E+001
  3.600000E-001  3.422836E+001  1.000837E+003  7.159398E+004  3.579699E+004  5.985123E+001
  3.800000E-001  3.584999E+001  1.000929E+003  5.160747E+004  2.580373E+004  6.972040E+001
  4.000000E-001  3.744767E+001  1.001009E+003  2.615451E+004  1.307726E+004  8.015137E+001
  4.200000E-001  3.903430E+001  1.001082E+003 -2.332804E+003 -1.166402E+003  9.086680E+001
  4.400000E-001  4.062139E+001  1.001155E+003 -3.047533E+004 -1.523766E+004  1.015569E+002
  4.600000E-001  4.221633E+001  1.001243E+003 -5.449868E+004 -2.724934E+004  1.119161E+002
  4.800000E-001  4.382100E+001  1.001356E+003 -7.132493E+004 -3.566246E+004  1.216833E+002
  5.000000E-001  4.543232E+001  1.001507E+003 -7.963443E+004 -3.981722E+004  1.306750E+002
  5.200000E-001  4.704437E+001  1.001699E+003 -8.008683E+004 -4.004342E+004  1.387992E+002
  5.400000E-001  4.865078E+001  1.001932E+003 -7.461768E+004 -3.730884E+004  1.460492E+002
  5.600000E-001  5.024642E+001  1.002203E+003 -6.545664E+004 -3.272832E+004  1.524829E+002
  5.800000E-001  5.182817E+001  1.002506E+003 -5.445686E+004 -2.722843E+004  1.581994E+002
  6.000000E-001  5.339487E+001  1.002834E+003 -4.286436E+004 -2.143218E+004  1.633182E+002
  6.200000E-001  5.494696E+001  1.003179E+003 -3.136943E+004 -1.568471E+004  1.679661E+002
  6.400000E-001  5.648612E+001  1.003536E+003 -2.025802E+004 -1.012901E+004  1.722690E+002
  6.600000E-001  5.801488E+001  1.003897E+003 -9.559447E+003 -4.779723E+003  1.763491E+002
  6.800000E-001  5.953644E+001  1.004260E+003  8.439548E+002  4.219774E+002  1.803238E+002
  7.000000E-001  6.105453E+001  1.004618E+003  1.114437E+004  5.572184E+003  1.843078E+002
  7.200000E-001  6.257343E+001  1.004967E+003  2.156053E+004  1.078027E+004  1.884143E+002
  7.400000E-001  6.409798E+001  1.005306E+003  3.229830E+004  1.614915E+004  1.927578E+002
  7.600000E-001  6.563365E+001  1.005630E+003  4.350152E+004  2.175076E+004  1.974566E+002
  7.800000E-001  6.718665E+001  1.005939E+003  5.516922E+004  2.758461E+004  2.026337E+002
  8.000000E-001  6.876380E+001  1.006230E+003  6.700575E+004  3.350287E+004  2.084169E+002
  8.200000E-001  7.037240E+001  1.006506E+003  7.816509E+004  3.908254E+004  2.149355E+002
  8.400000E-001  7.201946E+001  1.006769E+003  8.688240E+004  4.344120E+004  2.223104E+002
  8.600000E-001  7.371044E+001  1.007023E+003  9.013493E+004  4.506746E+004  2.306348E+002
  8.800000E-001  7.544710E+001  1.007274E+003  8.382971E+004  4.191485E+004  2.399404E+002
  9.000000E-001  7.722513E+001  1.007530E+003  6.436368E+004  3.218184E+004  2.501547E+002
  9.200000E-001  7.903298E+001  1.007793E+003  3.170651E+004  1.585326E+004  2.610635E+002
  9.400000E-001  8.085419E+001  1.008058E+003 -8.372567E+003 -4.186283E+003  2.723135E+002
  9.600000E-001  8.267308E+001  1.008310E+003 -4.647314E+004 -2.323657E+004  2.834736E+002
  9.800000E-001  8.448043E+001  1.008534E+003 -7.504683E+004 -3.752341E+004  2.941321E+002
  1.000000E+000  8.627538E+001  1.008713E+003 -9.162847E+004 -4.581423E+004  3.039776E+002
